"env" "LAT" "LON" "SOWING" "HARVEST"
"E079" -12.563 33.277 "2019-06-25" "2020-01-31"
"E080" 7.504 3.902 "2019-07-27" "2019-11-29"
"E081" 11.209 7.603 "2019-07-11" "2019-11-27"
"E082" 1.842 32.021 "2019-03-26" "2019-07-15"
"E083" 0.443 33.216 "2019-04-12" "2019-07-27"
"E084" 3.079 30.944 "2019-04-16" "2019-08-05"
"E085" 0.464 32.607 "2019-04-26" "2019-07-31"
"E086" 0.21 30.114 "2019-04-09" "2019-07-23"
"E087" -21.053 32.235 "2019-08-08" "2020-02-03"
"E088" -17.069 31.111 "2019-07-30" "2020-01-20"
"E089" 5.5 10.633 "2019-09-05" "2020-01-08"
"E090" 3.517 11.5 "2019-09-01" "2019-12-13"
"E091" 3.882 11.46 "2019-09-01" "2019-12-11"
"E092" -12.117 33.421 "2019-12-27" "2020-04-27"
"E093" -13.979 33.645 "2019-12-19" "2020-04-13"
"E094" -13.673 34.266 "2019-12-21" "2020-04-09"
"E095" -15.926 35.067 "2019-12-23" "2020-05-11"
"E096" -13.658 32.557 "2019-12-27" "2020-05-05"
"E097" -13.919 33.677 "2019-12-17" "2020-04-27"
"E098" -13.407 33.621 "2019-12-12" "2020-04-14"
"E099" -12.943 33.467 "2019-12-10" "2020-04-25"
"E0100" -14.747 34.368 "2019-12-30" "2020-05-24"
"E0101" -15.351 36.791 "2020-01-17" "2020-05-28"
"E0102" 1.842 32.021 "2019-09-06" "2019-12-23"
"E0102" 1.842 32.021 "2019-09-06" "2020-01-13"
"E0102" 1.842 32.021 "2019-09-06" "2020-01-03"
"E0103" -15.298 28.303 "2019-12-14" "2020-04-07"
"E0104" -13.509 28.155 "2019-12-24" "2020-05-08"
"E0105" -15.336 28.526 "2019-12-05" "2020-04-27"
"E0106" -15.392 28.583 "2019-12-18" "2020-04-14"
"E0107" -10.167 31.233 "2019-12-30" "2020-05-08"
"E0108" -14.441 28.443 "2019-12-27" "2020-05-05"
"E0109" -17.48 31.03 "2019-12-16" "2020-05-26"
"E0110" -20.47 32.14 "2020-01-22" "2020-05-29"
"E0110" -20.47 32.14 "2019-12-28" "2020-05-29"
"E0111" -17.069 31.111 "2020-01-08" "2020-06-05"
"E0112" -17.65 31.236 "2019-12-16" "2020-05-18"
"E0113" -17.717 31.083 "2019-12-18" "2020-05-12"
"E0114" -17.733 30.883 "2019-12-17" "2020-04-16"
"E0115" -17.643 30.4 "2019-12-18" "2020-05-14"
"E0116" -18.894 32.602 "2019-12-17" "2020-05-12"
"E0117" 9.876 3.141 "2020-07-30" "2020-11-11"
"E0118" 10.899 1.98 "2020-08-01" "2020-10-20"
"E0119" 8.126 2.123 "2020-08-02" "2020-11-14"
"E0120" 7.372 1.756 "2020-08-04" "2020-11-16"
"E0121" 7.959 1.889 "2020-08-04" "2020-11-12"
"E0122" 9.424 13.758 "2020-07-22" "2020-11-02"
"E0123" 7.5 36.5 "2020-06-05" "2021-02-07"
"E0124" 11.817 39.633 "2020-07-28" "2020-12-03"
"E0125" 8.317 35.583 "2020-06-12" "2021-02-02"
"E0126" 9.1 37.15 "2020-06-25" "2020-12-03"
"E0127" 11.3 36.4 "2020-07-07" "2020-11-11"
"E0128" 10.05 34.983 "2020-07-28" "2021-01-28"
"E0129" 7.389 -1.368 "2020-07-16" "2020-11-28"
"E0130" 7.332 -1.417 "2020-07-21" "2020-11-12"
"E0131" 9.395 -0.992 "2020-07-14" "2020-11-23"
"E0132" -0.344 35.943 "2020-05-28" "2021-02-26"
"E0133" 0.6 34.623 "2020-04-16" "2020-09-08"
"E0134" -0.811 37.144 "2020-04-16" "2020-09-12"
"E0135" -0.675 37.356 "2020-05-08" "2020-09-16"
"E0136" 11.467 5.643 "2020-07-18" "2020-11-22"
"E0137" -14.27 34.577 "2020-06-17" "2020-10-28"
"E0138" -15.22 35.492 "2020-06-19" "2020-11-16"
"E0139" -13.403 33.627 "2020-06-08" "2020-12-07"
"E0140" -12.938 33.463 "2020-06-23" "2020-12-27"
"E0141" 7.496 3.898 "2020-07-24" "2020-12-21"
"E0142" 11.975 8.559 "2020-07-24" "2020-12-21"
"E0143" 12.859 15.61 "2020-08-05" "2020-12-03"
"E0144" -8.921 33.524 "2020-03-10" "2020-09-22"
"E0145" -9.398 33.627 "2020-03-27" "2020-08-04"
"E0146" 3.464 11.599 "2020-09-05" "2020-12-23"
"E0147" 5.484 10.518 "2020-09-04" "2021-01-11"
"E0148" 10.871 -0.175 "2020-09-23" "2021-01-23"
"E0149" 0.599 34.622 "2020-10-28" "2021-03-17"
"E0150" -3.5 38.4 "2020-11-10" "2021-03-11"
"E0151" -0.811 37.144 "2020-10-29" "2021-02-25"
"E0152" 0.016 34.446 "2020-10-09" "2021-01-13"
"E0153" -0.052 36.11 "2020-10-23" "2021-02-25"
"E0154" -14.177 33.8 "2020-12-12" "2021-05-06"
"E0155" -12.117 33.421 "2020-12-15" "2021-05-06"
"E0156" -13.979 33.645 "2020-12-10" "2021-04-15"
"E0157" -13.673 34.266 "2020-12-26" "2021-04-22"
"E0158" -15.926 35.067 "2020-12-14" "2021-04-29"
"E0159" -13.68 32.734 "2020-12-17" "2021-04-28"
"E0160" -13.947 33.679 "2020-12-23" "2021-05-11"
"E0161" -13.407 33.621 "2020-12-08" "2021-04-21"
"E0162" -12.943 33.467 "2020-12-22" "2021-04-20"
"E0163" -14.748 34.367 "2020-12-11" "2021-04-24"
"E0164" -15.35 36.789 "2020-12-11" "2021-05-13"
"E0165" -2.058 29.403 "2020-09-30" "2021-02-05"
"E0165" -2.058 29.403 "2020-09-30" "2021-02-09"
"E0165" -2.058 29.403 "2020-09-30" "2021-01-26"
"E0165" -2.058 29.403 "2020-09-30" "2021-01-09"
"E0165" -2.058 29.403 "2020-09-30" "2021-01-20"
"E0165" -2.058 29.403 "2020-09-30" "2021-01-29"
"E0165" -2.058 29.403 "2020-09-30" "2021-01-19"
"E0165" -2.058 29.403 "2020-09-30" "2021-02-12"
"E0165" -2.058 29.403 "2020-09-30" "2021-01-12"
"E0165" -2.058 29.403 "2020-09-30" "2021-01-21"
"E0166" -1.887 30.516 "2020-10-05" "2021-02-26"
"E0166" -1.887 30.516 "2020-10-05" "2021-02-04"
"E0166" -1.887 30.516 "2020-10-05" "2021-03-04"
"E0166" -1.887 30.516 "2020-10-05" "2021-03-05"
"E0166" -1.887 30.516 "2020-10-05" "2021-02-10"
"E0166" -1.887 30.516 "2020-10-06" "2021-02-26"
"E0166" -1.887 30.516 "2020-10-06" "2021-02-04"
"E0166" -1.887 30.516 "2020-10-06" "2021-02-10"
"E0166" -1.887 30.516 "2020-10-06" "2021-03-05"
"E0166" -1.887 30.516 "2020-10-06" "2021-03-04"
"E0167" 6.733 1.333 "2020-09-17" "2021-01-07"
"E0168" 1.842 32.021 "2020-09-06" "2021-01-09"
"E0168" 1.842 32.021 "2020-09-06" "2021-01-08"
"E0168" 1.842 32.021 "2020-09-06" "2020-12-16"
"E0168" 1.842 32.021 "2020-09-06" "2020-12-18"
"E0168" 1.842 32.021 "2020-09-06" "2021-01-14"
"E0168" 1.842 32.021 "2020-09-06" "2020-12-19"
"E0168" 1.842 32.021 "2020-09-06" "2020-12-20"
"E0168" 1.842 32.021 "2020-09-06" "2020-12-21"
"E0168" 1.842 32.021 "2020-09-06" "2020-12-28"
"E0168" 1.842 32.021 "2020-09-06" "2021-12-16"
"E0168" 1.842 32.021 "2020-09-06" "2020-12-24"
"E0169" -15.301 28.305 "2020-12-26" "2020-05-12"
"E0170" -15.288 28.296 "2020-12-30" "2021-05-27"
"E0171" -15.404 28.08 "2020-12-17" "2021-05-14"
"E0172" -13.559 28.155 "2020-12-12" "2021-05-12"
"E0173" -15.392 28.584 "2020-12-10" "2021-04-19"
"E0174" -15.337 28.526 "2021-01-06" "2021-04-26"
"E0175" -14.234 28.294 "2020-12-22" "2021-05-05"
"E0176" -15.828 27.909 "2021-01-06" "2021-05-10"
"E0177" -17.809 31.056 "2020-12-03" "2021-05-21"
"E0178" -17.683 30.55 "2020-12-21" "2021-05-17"
"E0179" -17.643 30.4 "2020-12-18" "2021-05-17"
"E0180" -17.546 31.558 "2020-12-22" "2021-05-21"
"E0181" -18.897 32.601 "2020-12-17" "2021-05-16"
"E0182" -17.662 31.236 "2020-12-16" "2021-05-15"
"E0183" -17.828 31.053 "2020-12-18" "2021-05-17"
"E0184" -17.733 30.883 "2020-12-17" "2021-05-16"
"E0185" 9.158 3.025 "2021-07-18" "2021-12-09"
"E0186" 10.15 2.109 "2021-07-20" "2021-12-18"
"E0187" 7.33 2.244 "2021-08-12" "2021-12-07"
"E0188" 7.373 1.936 "2021-08-10" "2021-12-16"
"E0189" 7.165 1.967 "2021-07-23" "2021-12-19"
"E0190" 7.5 36.5 "2021-06-24" "2021-11-21"
"E0191" 9.1 37.15 "2021-07-06" "2021-11-04"
"E0192" 8.317 35.583 "2021-07-02" "2021-11-29"
"E0193" 7.333 -1.417 "2021-08-30" "2021-12-09"
"E0194" -0.344 35.943 "2021-05-21" "2021-11-23"
"E0194" -0.344 35.943 "2021-05-21" "2021-11-24"
"E0194" -0.344 35.943 "2021-05-21" "2021-12-02"
"E0194" -0.344 35.943 "2021-05-21" "2021-12-23"
"E0194" -0.344 35.943 "2021-05-21" "2021-12-09"
"E0194" -0.344 35.943 "2021-05-21" "2021-12-10"
"E0194" -0.344 35.943 "2021-05-21" "2021-12-31"
"E0194" -0.344 35.943 "2021-05-21" "2022-01-01"
"E0195" 0.602 34.622 "2021-03-30" "2021-07-26"
"E0196" -0.811 37.144 "2021-04-06" "2021-08-06"
"E0196" -0.811 37.144 "2021-04-06" "2021-08-03"
"E0196" -0.811 37.144 "2021-04-06" "2021-08-05"
"E0196" -0.811 37.144 "2021-04-06" "2021-08-04"
"E0196" -0.811 37.144 "2021-04-06" "2021-08-10"
"E0197" 0.016 34.446 "2021-04-08" "2021-08-05"
"E0198" -14.272 34.559 "2021-06-24" "2021-12-13"
"E0199" -15.222 35.496 "2021-06-30" "2021-12-06"
"E0200" -13.403 33.629 "2021-06-18" "2022-01-29"
"E0201" -12.936 33.458 "2021-06-18" "2021-12-28"
"E0202" 7.496 3.898 "2021-07-29" "2021-12-02"
"E0203" 11.975 8.559 "2021-08-01" "2021-11-30"
"E0204" 6.872 3.711 "2021-08-07" "2021-12-02"
"E0205" -2.057 29.353 "2021-03-03" "2021-06-16"
"E0205" -2.057 29.353 "2021-03-03" "2021-06-23"
"E0205" -2.057 29.353 "2021-03-03" "2021-07-06"
"E0205" -2.057 29.353 "2021-03-03" "2021-06-25"
"E0205" -2.057 29.353 "2021-03-03" "2021-07-12"
"E0205" -2.057 29.353 "2021-03-03" "2021-06-28"
"E0206" -1.887 30.516 "2021-03-04" "2021-07-08"
"E0206" -1.887 30.516 "2021-03-04" "2021-06-25"
"E0206" -1.887 30.516 "2021-03-04" "2021-07-15"
"E0206" -1.887 30.516 "2021-03-04" "2021-07-26"
"E0207" 12.55 -16.284 "2021-07-26" "2021-11-15"
"E0208" 3.605 32.017 "2021-07-15" "2021-11-05"
"E0209" 4.212 32.235 "2021-07-21" "2021-11-10"
"E0210" 4.066 32.386 "2021-08-04" "2021-11-23"
"E0211" 7.649 -1.165 "2021-09-06" "2021-11-24"
"E0211" 7.649 -1.165 "2021-09-06" "2021-12-04"
"E0211" 7.649 -1.165 "2021-09-06" "2021-11-23"
"E0211" 7.649 -1.165 "2021-09-06" "2021-12-15"
"E0211" 7.649 -1.165 "2021-09-06" "2021-12-20"
"E0211" 7.649 -1.165 "2021-09-06" "2021-12-06"
"E0211" 7.649 -1.165 "2021-09-06" "2021-12-21"
"E0211" 7.649 -1.165 "2021-09-06" "2021-12-12"
"E0211" 7.649 -1.165 "2021-09-06" "2021-11-27"
"E0211" 7.649 -1.165 "2021-09-06" "2021-12-19"
"E0211" 7.649 -1.165 "2021-09-06" "2021-12-05"
"E0211" 7.649 -1.165 "2021-09-06" "2021-12-09"
"E0211" 7.649 -1.165 "2021-09-06" "2021-12-13"
"E0211" 7.649 -1.165 "2021-09-06" "2021-12-08"
"E0211" 7.649 -1.165 "2021-09-06" "2021-12-22"
"E0211" 7.649 -1.165 "2021-09-06" "2021-11-29"
"E0211" 7.649 -1.165 "2021-09-06" "2021-12-14"
"E0211" 7.649 -1.165 "2021-09-06" "2021-11-26"
"E0211" 7.649 -1.165 "2021-09-06" "2021-12-02"
"E0211" 7.649 -1.165 "2021-09-06" "2021-12-26"
"E0211" 7.649 -1.165 "2021-09-06" "2021-12-23"
"E0211" 7.649 -1.165 "2021-09-06" "2021-12-25"
"E0211" 7.649 -1.165 "2021-09-06" "2021-11-25"
"E0211" 7.649 -1.165 "2021-09-06" "2021-12-24"
"E0211" 7.649 -1.165 "2021-09-06" "2022-02-03"
"E0212" -0.811 37.144 "2021-11-17" "2022-03-23"
"E0213" 0.6 34.623 "2021-11-15" "2022-03-23"
"E0214" -13.403 33.629 "2021-12-17" "2022-04-13"
"E0215" -12.937 33.465 "2022-01-06" "2022-05-15"
"E0216" -14.747 34.368 "2022-01-05" "2022-05-12"
"E0216" -14.747 34.368 "2022-01-05" "2022-05-13"
"E0217" -15.35 36.791 "2022-01-12" "2022-05-10"
"E0218" -19.191 33.146 "2022-12-22" "2022-11-05"
"E0218" -19.191 33.146 "2022-12-22" "2022-05-26"
"E0218" -19.191 33.146 "2022-12-22" "2022-04-26"
"E0218" -19.191 33.146 "2022-12-22" "2022-12-05"
"E0218" -19.191 33.146 "2022-12-22" "2022-12-06"
"E0218" -19.191 33.146 "2022-12-22" "2022-12-07"
"E0218" -19.191 33.146 "2022-12-22" "2022-12-08"
"E0218" -19.191 33.146 "2022-12-22" "2022-12-09"
"E0218" -19.191 33.146 "2022-12-22" "2022-12-10"
"E0218" -19.191 33.146 "2022-12-22" "2022-12-11"
"E0218" -19.191 33.146 "2022-12-22" "2022-12-12"
"E0218" -19.191 33.146 "2022-12-22" "2022-12-13"
"E0218" -19.191 33.146 "2022-12-22" "2022-12-14"
"E0219" -19.16 17.76 "2021-10-23" "2022-04-05"
"E0220" -2.057 29.353 "2021-09-24" "2022-01-17"
"E0220" -2.057 29.353 "2021-09-24" "2022-01-07"
"E0220" -2.057 29.353 "2021-09-24" "2022-01-12"
"E0220" -2.057 29.353 "2021-09-24" "2022-01-04"
"E0220" -2.057 29.353 "2021-09-24" "2022-01-24"
"E0220" -2.057 29.353 "2021-09-24" "2022-01-31"
"E0221" -1.887 30.516 "2021-10-04" "2022-01-28"
"E0221" -1.887 30.516 "2021-10-04" "2022-01-31"
"E0221" -1.887 30.516 "2021-10-04" "2022-02-11"
"E0221" -1.887 30.516 "2021-10-04" "2022-02-04"
"E0221" -1.887 30.516 "2021-10-05" "2022-02-11"
"E0221" -1.887 30.516 "2021-10-05" "2022-01-28"
"E0221" -1.887 30.516 "2021-10-05" "2022-01-31"
"E0222" 2.159 45.124 "2021-12-27" "2022-05-26"
"E0223" 0.483 33.233 "2021-09-16" "2022-02-13"
"E0224" -15.335 28.391 "2022-01-05" "2022-05-26"
"E0225" -15.302 28.305 "2021-11-26" "2022-05-26"
"E0226" -15.403 28.082 "2021-12-30" "2022-06-02"
"E0227" -13.544 28.064 "2022-01-03" "2022-05-19"
"E0228" -15.338 28.522 "2021-12-28" "2022-05-26"
"E0229" -15.289 28.296 "2021-12-19" "2022-06-06"
"E0230" -14.394 28.495 "2021-12-30" "2022-04-18"
"E0231" -17.26 30.54 "2021-11-30" "2022-05-26"
"E0232" -17.48 30.32 "2021-12-16" "2022-05-16"
"E0233" -18.33 29.88 "2021-12-17" "2022-05-24"
"E0234" -17.701 31.062 "2021-11-29" "2022-05-12"
"E0234" -17.701 31.062 "2021-11-29" "2022-05-10"
"E0234" -17.701 31.062 "2021-11-29" "2022-05-26"
"E0234" -17.701 31.062 "2021-11-29" "2022-05-11"
"E0235" -18.897 32.601 "2021-11-25" "2022-05-10"
"E0236" -17.662 31.236 "2021-12-24" "2022-05-20"
"E0237" 11.093 -4.316 "2022-07-20" "2022-11-04"
"E0238" -0.344 35.943 "2022-06-14" "2023-01-06"
"E0238" -0.344 35.943 "2022-06-14" "2023-01-30"
"E0238" -0.344 35.943 "2022-06-14" "2022-12-23"
"E0238" -0.344 35.943 "2022-06-14" "2023-02-24"
"E0238" -0.344 35.943 "2022-06-14" "2023-01-16"
"E0238" -0.344 35.943 "2022-06-14" "2022-12-07"
"E0238" -0.344 35.943 "2022-06-14" "2023-01-09"
"E0238" -0.344 35.943 "2022-06-14" "2023-01-13"
"E0238" -0.344 35.943 "2022-06-14" "2022-12-06"
"E0238" -0.344 35.943 "2022-06-14" "2022-11-30"
"E0239" 0.49 34.132 "2022-04-22" "2022-08-22"
"E0240" 0.6 34.623 "2022-04-08" "2022-08-04"
"E0240" 0.6 34.623 "2022-04-08" "2022-08-15"
"E0240" 0.6 34.623 "2022-04-08" "2022-08-17"
"E0241" -13.403 33.629 "2022-06-29" "2022-12-03"
"E0241" -13.403 33.629 "2022-06-29" "2022-11-19"
"E0242" -12.938 33.464 "2022-06-30" "2022-12-04"
"E0242" -12.938 33.464 "2022-06-30" "2022-11-20"
"E0242" -12.938 33.464 "2022-06-30" "2022-11-19"
"E0242" -12.938 33.464 "2022-06-30" "2022-11-21"
"E0242" -12.938 33.464 "2022-06-30" "2022-11-22"
"E0243" -2.057 29.353 "2022-03-02" "2022-06-15"
"E0243" -2.057 29.353 "2022-03-02" "2022-06-27"
"E0243" -2.057 29.353 "2022-03-02" "2022-06-21"
"E0244" -1.887 30.516 "2022-03-01" "2022-06-17"
"E0244" -1.887 30.516 "2022-03-01" "2022-06-29"
"E0244" -1.887 30.516 "2022-03-01" "2022-06-22"
"E0245" 4.454 29.305 "2022-08-08" "2022-12-09"
"E0245" 4.454 29.305 "2022-08-08" "2023-01-05"
"E0245" 4.454 29.305 "2022-08-08" "2022-12-10"
"E0245" 4.454 29.305 "2022-08-08" "2022-12-11"
"E0246" 0.602 34.622 "2022-11-27" "2023-04-19"
"E0246" 0.602 34.622 "2022-11-27" "2023-04-27"
"E0246" 0.602 34.622 "2022-11-27" "2023-04-11"
"E0247" -0.998 37.065 "2023-02-03" "2023-06-08"
"E0247" -0.998 37.065 "2023-02-03" "2023-06-10"
"E0248" -16.09 34.778 "2023-01-27" "2023-05-30"
"E0248" -16.09 34.778 "2023-01-27" "2023-05-09"
"E0248" -16.09 34.778 "2023-01-27" "2023-06-26"
"E0248" -16.09 34.778 "2023-01-27" "2023-05-18"
"E0248" -16.09 34.778 "2023-01-27" "2023-06-03"
"E0248" -16.09 34.778 "2023-01-27" "2023-05-22"
"E0248" -16.09 34.778 "2023-01-27" "2023-05-20"
"E0248" -16.09 34.778 "2023-01-27" "2023-05-15"
"E0248" -16.09 34.778 "2023-01-27" "2023-05-10"
"E0248" -16.09 34.778 "2023-01-27" "2023-05-13"
"E0248" -16.09 34.778 "2023-01-27" "2023-05-01"
"E0249" -12.571 33.402 "2022-12-27" "2023-05-26"
"E0249" -12.571 33.402 "2022-12-27" "2023-05-04"
"E0249" -12.571 33.402 "2022-12-27" "2023-05-10"
"E0250" -13.406 33.984 "2022-12-21" "2023-05-20"
"E0250" -13.406 33.984 "2022-12-21" "2023-04-22"
"E0250" -13.406 33.984 "2022-12-21" "2023-05-02"
"E0250" -13.406 33.984 "2022-12-21" "2023-05-04"
"E0251" -13.406 33.984 "2023-01-16" "2023-06-16"
"E0251" -13.406 33.984 "2023-01-16" "2023-05-05"
"E0251" -13.406 33.984 "2023-01-16" "2023-06-15"
"E0251" -13.406 33.984 "2023-01-16" "2023-05-29"
"E0252" -15.302 28.306 "2022-12-26" "2023-06-05"
"E0253" -15.299 28.303 "2022-12-26" "2023-05-10"
"E0253" -15.299 28.303 "2022-12-26" "2023-05-11"
"E0253" -15.299 28.303 "2022-12-26" "2023-05-12"
"E0254" -15.406 28.079 "2022-12-05" "2023-05-04"
"E0255" -15.406 28.078 "2022-12-14" "2023-05-04"
"E0256" -17.809 31.053 "2022-11-21" "2023-05-26"
"E0256" -17.809 31.053 "2022-11-21" "2023-06-26"
"E0257" -17.166 31.37 "2023-01-12" "2023-05-23"
"E0258" -17.66 31.24 "2022-11-11" "2023-04-21"
"E0259" -17.73 30.88 "2022-11-30" "2023-04-24"
"E0260" -17.69 30.95 "2023-02-09" "2023-07-26"
"E0261" 9.386 -1 "2023-07-27" "2023-11-05"
"E0262" -0.345 35.943 "2023-06-23" "2023-12-13"
"E0262" -0.345 35.943 "2023-06-23" "2023-12-11"
"E0262" -0.345 35.943 "2023-06-23" "2023-12-07"
"E0262" -0.345 35.943 "2023-06-23" "2023-12-09"
"E0262" -0.345 35.943 "2023-06-23" "2023-12-19"
"E0262" -0.345 35.943 "2023-06-23" "2023-11-29"
"E0262" -0.345 35.943 "2023-06-23" "2023-12-14"
"E0262" -0.345 35.943 "2023-06-23" "2023-12-18"
"E0262" -0.345 35.943 "2023-06-23" "2023-12-27"
"E0262" -0.345 35.943 "2023-06-23" "2023-12-22"
"E0262" -0.345 35.943 "2023-06-23" "2023-12-28"
"E0262" -0.345 35.943 "2023-06-23" "2023-12-29"
"E0262" -0.345 35.943 "2023-06-23" "2023-12-06"
"E0262" -0.345 35.943 "2023-06-23" "2023-12-21"
"E0262" -0.345 35.943 "2023-06-23" "2023-12-01"
"E0262" -0.345 35.943 "2023-06-23" "2023-12-04"
"E0262" -0.345 35.943 "2023-06-23" "2023-12-15"
"E0262" -0.345 35.943 "2023-06-23" "2024-02-28"
"E0263" 0.602 34.622 "2023-04-27" "2023-09-06"
"E0263" 0.602 34.622 "2023-04-27" "2023-09-05"
"E0264" 0.49 34.132 "2023-04-14" "2023-08-15"
"E0264" 0.49 34.132 "2023-04-14" "2023-07-28"
"E0264" 0.49 34.132 "2023-04-14" "2023-07-29"
"E0265" 12.65 -7.933 "2023-07-23" "2023-11-08"
"E0265" 12.65 -7.933 "2023-07-23" "2023-11-19"
"E0265" 12.65 -7.933 "2023-07-23" "2023-08-19"
"E0265" 12.65 -7.933 "2023-07-23" "2023-07-22"
"E0266" -13.998 33.757 "2023-05-26" "2023-09-25"
"E0266" -13.998 33.757 "2023-05-26" "2023-09-19"
"E0266" -13.998 33.757 "2023-05-26" "2023-09-12"
"E0266" -13.998 33.757 "2023-05-26" "2023-10-23"
"E0266" -13.998 33.757 "2023-05-26" "2023-10-04"
"E0266" -13.998 33.757 "2023-05-26" "2023-09-18"
"E0267" -12.952 33.703 "2023-06-07" "2023-11-29"
"E0268" 3.141 43.614 "2023-03-23" "2023-07-13"
"E0269" 0.61 29.165 "2023-09-20" "2024-02-14"
"E0269" 0.61 29.165 "2023-09-20" "2024-02-12"
"E0269" 0.61 29.165 "2023-09-20" "2024-02-04"
"E0269" 0.61 29.165 "2023-09-20" "2024-01-23"
"E0269" 0.61 29.165 "2023-09-20" "2024-01-31"
"E0269" 0.61 29.165 "2023-09-20" "2024-01-29"
