COUNTRY;YEAR;codenv;codgen;loc;SEASON;rep;check;PL_EMERG_COUNT;PL_EMERG_PCT;FLW_DAYS;FLW_CL;PUB_CL;NDM;LOD;PODDING_MAT;Pod_Shattering;PH_R8;W100G;GY;R6_BB_Sev;R6_BP_Sev;R6_BS_Sev;R6_BTS_Sev;R6_CLB_Sev;R6_DM_Sev;R6_MLS_Sev;R6_FELS_Sev;R6_RLB_Sev;R6_RUST_Sev;R6_RUST_RRT;R6_Others_Sev;PROT;OIL;SOWING;HARVEST;LAT;LON;ELEV;RAINFED;SOURCE;COMPANY;index;gen;env
Malawi;2017;E016;G203;L011;2;1;0;0;0;52;NA;NA;117;1;0;1;0;20;1688.5;2;1;0;0;0;0;0;1;0;2;0;1;41.19;21.77;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;141;G106;E001
Malawi;2017;E016;G092;L011;2;1;0;0;0;52;NA;NA;120;1;0;1;0;10;1730.03;2;1;0;0;0;0;0;1;0;3;0;1;40.74;20.72;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;SeedCo;Private;142;G046;E001
Malawi;2017;E016;G060;L011;2;1;0;0;0;56;NA;NA;118;2;0;1;0;15;1890.47;1;1;0;0;0;0;0;1;0;2;0;1;40.36;21.94;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Makerere University;Public;143;G026;E001
Malawi;2017;E016;G201;L011;2;1;0;0;0;57;NA;NA;121;2;0;1;0;10;1830.72;1;1;0;0;0;0;0;1;0;1;0;1;43.42;19.57;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;144;G105;E001
Malawi;2017;E016;G065;L011;2;2;1;0;0;47;NA;NA;118;3;0;1;0;20;2234.95;1;1;0;0;0;0;0;1;0;1;0;1;39.13;22.62;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Department of Agricultural Research Services DARS;Public;146;G031;E001
Malawi;2017;E016;G061;L011;2;2;0;0;0;53;NA;NA;120;1;0;1;0;20;1764.31;2;1;0;0;0;0;0;1;0;2;0;1;41.81;21.92;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Makerere University;Public;148;G027;E001
Malawi;2017;E016;G199;L011;2;2;0;0;0;55;NA;NA;121;2;0;1;0;15;2540.94;1;1;0;0;0;0;0;1;0;1;0;1;43.53;20.48;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;149;G104;E001
Malawi;2017;E016;G201;L011;2;2;0;0;0;49;NA;NA;122;1;0;1;0;10;2477.49;2;1;0;0;0;0;0;1;0;2;0;1;40.14;22.03;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;150;G105;E001
Malawi;2017;E016;G063;L011;2;2;0;0;0;53;NA;NA;118;4;0;1;0;15;1775.55;3;1;0;0;0;0;0;3;0;4;0;1;39.18;21.27;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Makerere University;Public;151;G029;E001
Malawi;2017;E016;G034;L011;2;2;0;0;0;53;NA;NA;121;1;0;2;0;10;1686.88;2;1;0;0;0;0;0;3;0;3;0;2;41.67;21.57;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;ZamSeed;Private;152;G015;E001
Malawi;2017;E016;G158;L011;2;2;0;0;0;60;NA;NA;126;2;0;1;0;10;1223.45;1;1;0;0;0;0;0;2;0;2;0;1;42.72;18.83;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Savanna Agricultural Research Institute CSIRSARI;Public;153;G093;E001
Malawi;2017;E016;G182;L011;2;2;0;0;0;47;NA;NA;109;1;0;1;0;10;2232.87;1;1;0;0;0;0;0;1;0;2;0;1;39.95;21.51;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;155;G095;E001
Malawi;2017;E016;G188;L011;2;2;0;0;0;47;NA;NA;107;1;0;1;0;15;2555.24;1;1;0;0;0;0;0;1;0;1;0;1;40.72;20.93;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;156;G098;E001
Malawi;2017;E016;G059;L011;2;2;0;0;0;54;NA;NA;109;1;0;1;0;20;1442.63;1;1;0;0;0;0;0;1;0;1;0;1;42.31;19.69;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Makerere University;Public;157;G025;E001
Malawi;2017;E016;G212;L011;2;2;0;0;0;53;NA;NA;120;1;0;1;0;15;1880.77;3;1;0;0;0;0;0;2;0;3;0;1;41.14;21.97;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;158;G112;E001
Malawi;2017;E016;G143;L011;2;2;0;0;0;47;NA;NA;122;1;0;1;0;20;2431.1;1;1;0;0;0;0;0;1;0;2;0;1;40.08;22.33;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;SeedCo;Private;159;G080;E001
Malawi;2017;E016;G089;L011;2;2;0;0;0;65;NA;NA;132;1;0;1;0;15;660.29;1;1;0;0;0;0;0;1;0;2;0;2;49.02;16.15;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Savanna Agricultural Research Institute CSIRSARI;Public;160;G044;E001
Malawi;2017;E016;G070;L011;2;2;0;0;0;57;NA;NA;124;1;0;1;0;10;1662.15;1;1;0;0;0;0;0;2;0;3;0;1;42.31;20.17;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;MRISyngenta Synergy Agribusiness Zambia Limited;Private;161;G034;E001
Malawi;2017;E016;G183;L011;2;2;0;0;0;60;NA;NA;123;2;0;1;0;15;1956.64;1;1;0;0;0;0;0;1;0;2;0;2;44.97;18.92;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;162;G096;E001
Malawi;2017;E016;G060;L011;2;2;0;0;0;57;NA;NA;121;3;0;1;0;10;2176.83;1;1;0;0;0;0;0;1;0;2;0;1;39.78;23.31;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Makerere University;Public;163;G026;E001
Malawi;2017;E016;G062;L011;2;2;0;0;0;53;NA;NA;126;4;0;2;0;15;1776.28;1;1;0;0;0;0;0;2;0;1;0;1;39.82;20.15;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Makerere University;Public;165;G028;E001
Malawi;2017;E016;G365;L011;2;2;1;0;0;47;NA;NA;107;1;0;1;0;15;2314.15;1;1;0;0;0;0;0;1;0;1;0;1;41.11;20.97;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Department of Agricultural Research Services DARS;Public;167;G155;E001
Malawi;2017;E016;G031;L011;2;2;0;0;0;61;NA;NA;129;3;0;1;0;10;1532.54;1;1;0;0;0;0;0;1;0;2;0;2;44.26;17.42;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Savanna Agricultural Research Institute CSIRSARI;Public;168;G012;E001
Malawi;2017;E016;G206;L011;2;2;0;0;0;47;NA;NA;117;2;0;1;0;20;1625.62;1;1;0;0;0;0;0;1;0;1;0;1;40.3;22.62;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;170;G108;E001
Malawi;2017;E016;G210;L011;2;2;0;0;0;47;NA;NA;115;2;0;2;0;20;2360.82;1;1;0;0;0;0;0;1;0;1;0;1;41.09;22.39;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;171;G111;E001
Malawi;2017;E016;G156;L011;2;2;0;0;0;68;NA;NA;132;1;0;1;0;10;369.49;1;1;0;0;0;0;0;1;0;2;0;2;49.35;15.86;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Savanna Agricultural Research Institute CSIRSARI;Public;172;G091;E001
Malawi;2017;E016;G234;L011;2;2;0;0;0;52;NA;NA;119;1;0;1;0;15;2101.78;1;1;0;0;0;0;0;1;0;1;0;1;41.31;21.39;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;173;G118;E001
Malawi;2017;E016;G208;L011;2;2;0;0;0;53;NA;NA;119;1;0;2;0;10;1785.58;1;1;0;0;0;0;0;1;0;1;0;1;42.71;21.71;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;174;G110;E001
Malawi;2017;E016;G074;L011;2;2;1;0;0;47;NA;NA;119;1;0;2;0;20;1773.54;1;1;0;0;0;0;0;1;0;3;0;1;42.7;20.29;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Department of Agricultural Research Services DARS;Public;175;G037;E001
Malawi;2017;E016;G125;L011;2;2;0;0;0;66;NA;NA;136;1;0;1;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Savanna Agricultural Research Institute CSIRSARI;Public;176;G069;E001
Malawi;2017;E016;G246;L011;2;2;0;0;0;47;NA;NA;110;1;0;1;0;25;1696.14;1;1;0;0;0;0;0;1;0;1;0;1;43.12;20.94;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;177;G125;E001
Malawi;2017;E016;G003;L011;2;2;0;0;0;68;NA;NA;129;1;0;1;0;10;889.93;1;1;0;0;0;0;0;2;0;1;0;2;44.95;18.08;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Savanna Agricultural Research Institute CSIRSARI;Public;178;G002;E001
Malawi;2017;E016;G094;L011;2;2;0;0;0;49;NA;NA;118;1;0;1;0;15;2138.18;1;1;0;0;0;0;0;1;0;3;0;1;36.8;22.41;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;SeedCo;Private;179;G048;E001
Malawi;2017;E016;G056;L011;2;2;0;0;0;48;NA;NA;118;1;0;1;0;15;1356.33;1;1;0;0;0;0;0;1;0;1;0;1;39.41;22.84;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;ZamSeed;Private;180;G022;E001
Malawi;2017;E016;G210;L011;2;3;0;0;0;47;NA;NA;113;2;0;1;0;15;2465.43;1;1;0;0;0;0;0;1;0;1;0;1;41.5;21.08;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;181;G111;E001
Malawi;2017;E016;G143;L011;2;3;0;0;0;47;NA;NA;120;1;0;1;0;20;2287.05;2;1;0;0;0;0;0;2;0;1;0;1;40.52;21.7;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;SeedCo;Private;182;G080;E001
Malawi;2017;E016;G070;L011;2;3;0;0;0;57;NA;NA;124;2;0;1;0;10;2236.24;1;1;0;0;0;0;0;1;0;4;0;1;40.18;21.75;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;MRISyngenta Synergy Agribusiness Zambia Limited;Private;183;G034;E001
Malawi;2017;E016;G212;L011;2;3;0;0;0;54;NA;NA;118;1;0;1;0;15;1534.48;1;1;0;0;0;0;0;2;0;2;0;1;42.16;22.02;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;184;G112;E001
Malawi;2017;E016;G061;L011;2;3;0;0;0;52;NA;NA;120;1;0;1;0;20;2173.73;1;1;0;0;0;0;0;1;0;1;0;1;39.98;21.79;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Makerere University;Public;185;G027;E001
Malawi;2017;E016;G096;L011;2;3;0;0;0;52;NA;NA;124;1;0;1;0;15;2004.26;1;1;0;0;0;0;0;1;0;2;0;1;40.95;22.21;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;SeedCo;Private;186;G050;E001
Malawi;2017;E016;G056;L011;2;3;0;0;0;48;NA;NA;118;1;0;1;0;15;1636.83;1;1;0;0;0;0;0;1;0;3;0;1;37.99;23.35;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;ZamSeed;Private;187;G022;E001
Malawi;2017;E016;G091;L011;2;3;0;0;0;49;NA;NA;126;1;0;1;0;15;2505.33;1;1;0;0;0;0;0;2;0;2;0;1;41.56;22.76;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;SeedCo;Private;188;G045;E001
Malawi;2017;E016;G199;L011;2;3;0;0;0;56;NA;NA;120;2;0;1;0;15;2228.3;2;1;0;0;0;0;0;1;0;2;0;1;42.13;20.88;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;189;G104;E001
Malawi;2017;E016;G186;L011;2;3;0;0;0;57;NA;NA;122;1;0;1;0;10;2031.93;1;1;0;0;0;0;0;2;0;2;0;2;41.92;20.89;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;190;G097;E001
Malawi;2017;E016;G203;L011;2;3;0;0;0;52;NA;NA;120;1;0;1;0;20;1916.43;2;1;0;0;0;0;0;1;0;3;0;1;40.05;22.69;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;191;G106;E001
Malawi;2017;E016;G183;L011;2;3;0;0;0;49;NA;NA;127;1;0;1;0;20;1185.43;1;1;0;0;0;0;0;2;0;2;0;2;43.06;19.96;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;192;G096;E001
Malawi;2017;E016;G094;L011;2;3;0;0;0;48;NA;NA;117;1;0;1;0;10;1218.66;3;1;0;0;0;0;0;1;0;1;0;1;38.05;23.15;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;SeedCo;Private;193;G048;E001
Malawi;2017;E016;G365;L011;2;3;1;0;0;47;NA;NA;141;1;0;1;0;10;1517.59;1;1;0;0;0;0;0;1;0;1;0;1;40.52;21.62;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Department of Agricultural Research Services DARS;Public;194;G155;E001
Malawi;2017;E016;G063;L011;2;3;0;0;0;53;NA;NA;120;2;0;2;0;10;1601.82;1;1;0;0;0;0;0;1;0;1;0;2;39.71;21.67;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Makerere University;Public;195;G029;E001
Malawi;2017;E016;G062;L011;2;3;0;0;0;56;NA;NA;125;2;0;1;0;10;1779.56;1;1;0;0;0;0;0;3;0;1;0;1;42.89;22.46;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Makerere University;Public;196;G028;E001
Malawi;2017;E016;G074;L011;2;3;1;0;0;48;NA;NA;118;3;0;1;0;15;2124.56;2;1;0;0;0;0;0;1;0;2;0;1;41.2;21.23;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Department of Agricultural Research Services DARS;Public;197;G037;E001
Malawi;2017;E016;G065;L011;2;3;1;0;0;48;NA;NA;118;1;0;1;0;15;1470.38;1;1;0;0;0;0;0;1;0;2;0;1;41.12;20.22;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Department of Agricultural Research Services DARS;Public;198;G031;E001
Malawi;2017;E016;G156;L011;2;3;0;0;0;69;NA;NA;133;1;0;1;0;15;444.89;1;1;0;0;0;0;0;2;0;1;0;1;49.32;15.59;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Savanna Agricultural Research Institute CSIRSARI;Public;199;G091;E001
Malawi;2017;E016;G196;L011;2;3;0;0;0;53;NA;NA;140;2;0;1;0;10;1394.52;1;1;0;0;0;0;0;1;0;1;0;1;44.18;18.85;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;200;G102;E001
Malawi;2017;E016;G034;L011;2;3;0;0;0;52;NA;NA;119;1;0;1;0;10;1332.87;1;1;0;0;0;0;0;1;0;1;0;1;41.56;22.16;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;ZamSeed;Private;201;G015;E001
Malawi;2017;E016;G125;L011;2;3;0;0;0;56;NA;NA;144;2;0;1;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Savanna Agricultural Research Institute CSIRSARI;Public;203;G069;E001
Malawi;2017;E016;G188;L011;2;3;0;0;0;47;NA;NA;107;2;0;1;0;15;2545.31;1;1;0;0;0;0;0;1;0;1;0;1;41.35;21.01;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;204;G098;E001
Malawi;2017;E016;G089;L011;2;3;0;0;0;63;NA;NA;131;4;0;2;0;10;761.73;1;1;0;0;0;0;0;1;0;2;0;1;47.35;16.67;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Savanna Agricultural Research Institute CSIRSARI;Public;205;G044;E001
Malawi;2017;E016;G060;L011;2;3;0;0;0;56;NA;NA;120;2;0;1;0;15;1873.03;1;1;0;0;0;0;0;1;0;1;0;1;39.5;23.52;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Makerere University;Public;206;G026;E001
Malawi;2017;E016;G031;L011;2;3;0;0;0;64;NA;NA;131;3;0;2;0;10;957.89;1;1;0;0;0;0;0;2;0;2;0;1;44.61;17.93;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Savanna Agricultural Research Institute CSIRSARI;Public;207;G012;E001
Malawi;2017;E016;G003;L011;2;3;0;0;0;66;NA;NA;128;1;0;1;0;10;653.19;2;1;0;0;0;0;0;2;0;2;0;2;44.21;18.15;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Savanna Agricultural Research Institute CSIRSARI;Public;208;G002;E001
Malawi;2017;E016;G208;L011;2;3;0;0;0;52;NA;NA;117;1;0;1;0;20;2424.55;1;1;0;0;0;0;0;1;0;1;0;1;40.11;22.9;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;209;G110;E001
Malawi;2017;E016;G206;L011;2;3;0;0;0;48;NA;NA;115;1;0;1;0;20;2160.92;1;1;0;0;0;0;0;1;0;1;0;1;36.59;22.84;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;210;G108;E001
Malawi;2017;E016;G234;L011;2;3;0;0;0;48;NA;NA;115;1;0;1;0;10;2097.05;1;1;0;0;0;0;0;1;0;1;0;1;41.02;21.52;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;212;G118;E001
Malawi;2017;E016;G059;L011;2;3;0;0;0;54;NA;NA;109;1;0;1;0;15;1486.31;1;1;0;0;0;0;0;1;0;1;0;1;40.48;19.89;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Makerere University;Public;213;G025;E001
Malawi;2017;E016;G158;L011;2;3;0;0;0;56;NA;NA;123;3;0;1;0;10;1163.79;1;1;0;0;0;0;0;1;0;2;0;3;42.14;18.96;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;Savanna Agricultural Research Institute CSIRSARI;Public;214;G093;E001
Malawi;2017;E016;G201;L011;2;3;0;0;0;55;NA;NA;123;1;0;1;0;10;1962.28;2;1;0;0;0;0;0;1;0;2;0;3;42.28;20.75;18/12/2017;09/05/2018;-13.983;33.633;1097;Rainfed;International Institute of Tropical Agriculture IITA;Public;215;G105;E001
